               Original Sentence             	                   List of POS      	       Misclassified Entity    
                                                                                                                                	a/DT	 
                                                                                                                                	stunning/JJ	 
                                                                                                                                	Camille/NNP	 
                                                                                                                                	who/WP	 
                                                                                                                                	is/VBZ	 
                                                                                                                                	tough-as-nails/NNS	 
[[ Arkady Grigorovich Ourumov | /m/07cyk8 ]]  is a fictional character in the [[ James Bond | /m/03_97 ]] film [[ GoldenEye | /m/0cc6d8s ]] , played by [[ Gottfried John | /m/091w7r ]] 	Arkady/NNP	 
                                                                                                                                                                                          	Grigorovich/NNP	 
                                                                                                                                                                                          	Ourumov/NNP	 
                                                                                                                                                                                          	is/VBZ	 
                                                                                                                                                                                          	a/DT	 
                                                                                                                                                                                          	fictional/JJ	 
                                                                                                                                                                                          	character/NN	 
                                                                                                                                                                                          	in/IN	 
                                                                                                                                                                                          	the/DT	 
                                                                                                                                                                                          	James/NNP	 
                                                                                                                                                                                          	Bond/NNP	 
                                                                                                                                                                                          	film/NN	 
                                                                                                                                                                                          	GoldenEye/NNP	 
                                                                                                                                                                                          	,/,	 
                                                                                                                                                                                          	played/VBN	 
                                                                                                                                                                                          	by/IN	 
                                                                                                                                                                                          	Gottfried/NNP	 
                                                                                                                                                                                          	John/NNP	 
RM: You appeared briefly in the 1998 movie version of [[ Lost in Space | /m/02p_zh3 ]] , in which [[ Lacey Chabert | /m/02k4b2 ]] played [[ Penny Robinson | /m/0gm0ftq ]] 	RM/NN	 
                                                                                                                                                                            	:/:	 
                                                                                                                                                                            	You/PRP	 
                                                                                                                                                                            	appeared/VBD	 
                                                                                                                                                                            	briefly/NN	 
                                                                                                                                                                            	in/IN	 
                                                                                                                                                                            	the/DT	 
                                                                                                                                                                            	1998/CD	 
                                                                                                                                                                            	movie/NN	 
                                                                                                                                                                            	version/NN	 
                                                                                                                                                                            	of/IN	 
                                                                                                                                                                            	Lost/NNP	 
                                                                                                                                                                            	in/IN	 
                                                                                                                                                                            	Space/NNP	 
                                                                                                                                                                            	,/,	 
                                                                                                                                                                            	in/IN	 
                                                                                                                                                                            	which/WDT	 
                                                                                                                                                                            	Lacey/NNP	 
                                                                                                                                                                            	Chabert/NNP	 
                                                                                                                                                                            	played/VBD	 
                                                                                                                                                                            	Penny/NNP	 
                                                                                                                                                                            	Robinson/NNP	 
[[ Mel Blanc | /m/0c5vh ]] always voiced [[ Porky Pig | /m/0dngm ]] , right	Mel/NNP	 
                                                                            	Blanc/NNP	 
                                                                            	always/RB	 
                                                                            	voiced/VBD	 
                                                                            	Porky/NNP	 
                                                                            	Pig/NNP	 
                                                                            	,/,	 
                                                                            	right/NN	 
In 2004, [[ Shemar | /m/034_bc ]] played the role of [[ Emery Simms | /m/0gxr6ym ]] in the film Motives alongside [[ Vivica Fox | /m/02ts3h ]] and [[ Golden Brooks | /m/0407ns ]] 	In/IN	 
                                                                                                                                                                                    	2004/CD	 
                                                                                                                                                                                    	,/,	 
                                                                                                                                                                                    	Shemar/NNP	 
                                                                                                                                                                                    	played/VBD	 
                                                                                                                                                                                    	the/DT	 
                                                                                                                                                                                    	role/NN	 
                                                                                                                                                                                    	of/IN	 
                                                                                                                                                                                    	Emery/NNP	 
                                                                                                                                                                                    	Simms/NNP	 
                                                                                                                                                                                    	in/IN	 
                                                                                                                                                                                    	the/DT	 
                                                                                                                                                                                    	film/NN	 
                                                                                                                                                                                    	Motives/NNP	 
                                                                                                                                                                                    	alongside/RB	 
                                                                                                                                                                                    	Vivica/NNP	 
                                                                                                                                                                                    	Fox/NNP	 
                                                                                                                                                                                    	and/CC	 
                                                                                                                                                                                    	Golden/NNP	 
                                                                                                                                                                                    	Brooks/NNP	 
[[ Carell | /m/04t2l2 ]] plays [[ Dan Burns | /m/04g5rq4 ]] , a widower advice columnist with three rambunctious daughters	Carell/NNP	 
                                                                                                                           	plays/VBZ	 
                                                                                                                           	Dan/NNP	 
                                                                                                                           	Burns/NNP	 
                                                                                                                           	,/,	 
                                                                                                                           	a/DT	 
                                                                                                                           	widower/NN	 
                                                                                                                           	advice/NN	 
                                                                                                                           	columnist/NN	 
                                                                                                                           	with/IN	 
                                                                                                                           	three/CD	 
                                                                                                                           	rambunctious/JJ	 
                                                                                                                           	daughters/NNS	 
Indeed, fans of [[ Anchorman | /m/034qzw ]] will recognize [[ Carell | /m/04t2l2 ]] as [[ Brick Tamland | /m/02nwrvg ]] , the weatherman unable to spout anything besides gibberish 	Indeed/RB	 
                                                                                                                                                                                     	,/,	 
                                                                                                                                                                                     	fans/NNS	 
                                                                                                                                                                                     	of/IN	 
                                                                                                                                                                                     	Anchorman/NNP	 
                                                                                                                                                                                     	will/MD	 
                                                                                                                                                                                     	recognize/VB	 
                                                                                                                                                                                     	Carell/NNP	 
                                                                                                                                                                                     	as/IN	 
                                                                                                                                                                                     	Brick/NNP	 
                                                                                                                                                                                     	Tamland/NNP	 
                                                                                                                                                                                     	,/,	 
                                                                                                                                                                                     	the/DT	 
                                                                                                                                                                                     	weatherman/NN	 
                                                                                                                                                                                     	unable/JJ	 
                                                                                                                                                                                     	to/TO	 
                                                                                                                                                                                     	spout/VB	 
                                                                                                                                                                                     	anything/NN	 
                                                                                                                                                                                     	besides/IN	 
                                                                                                                                                                                     	gibberish/JJ	 
Unfortunately, [[ Josh Hartnett | /m/01kgv4 ]] plays [[ Tom | /m/0gyd18c ]] .	Unfortunately/RB	 
                                                                              	,/,	 
                                                                              	Josh/NNP	 
                                                                              	Hartnett/NNP	 
                                                                              	plays/VBZ	 
                                                                              	Tom/NNP	 
                                                                              	./.	 
Lieutenant [[ Felix Gaeta | /m/09rrdk ]] is portrayed by [[ Alessandro Juliani | /m/073lr9 ]] on the series 	Lieutenant/JJ	 
                                                                                                             	Felix/NNP	 
                                                                                                             	Gaeta/NNP	 
                                                                                                             	is/VBZ	 
                                                                                                             	portrayed/VBN	 
                                                                                                             	by/IN	 
                                                                                                             	Alessandro/NNP	 
                                                                                                             	Juliani/NNP	 
                                                                                                             	on/IN	 
                                                                                                             	the/DT	 
                                                                                                             	series/NN	 
The unfamiliar comes from [[ Chris Pratt | /m/02nwpt8 ]] played by the aforementioned [[ Joseph Gordon-Levitt | /m/05zbm4 ]] 	The/DT	 
                                                                                                                              	unfamiliar/JJ	 
                                                                                                                              	comes/VBZ	 
                                                                                                                              	from/IN	 
                                                                                                                              	Chris/NNP	 
                                                                                                                              	Pratt/NNP	 
                                                                                                                              	played/VBN	 
                                                                                                                              	by/IN	 
                                                                                                                              	the/DT	 
                                                                                                                              	aforementioned/JJ	 
                                                                                                                              	Joseph/NNP	 
                                                                                                                              	Gordon-Levitt/NNP	 
However, the true find of this flick is [[ James Marsden | /m/042ly5 ]] , who plays [[ Prince Edward | /m/02nwdm3 ]] .	However/RB	 
                                                                                                                       	,/,	 
                                                                                                                       	the/DT	 
                                                                                                                       	true/JJ	 
                                                                                                                       	find/NN	 
                                                                                                                       	of/IN	 
                                                                                                                       	this/DT	 
                                                                                                                       	flick/NN	 
                                                                                                                       	is/VBZ	 
                                                                                                                       	James/NNP	 
                                                                                                                       	Marsden/NNP	 
                                                                                                                       	,/,	 
                                                                                                                       	who/WP	 
                                                                                                                       	plays/VBZ	 
                                                                                                                       	Prince/NNP	 
                                                                                                                       	Edward/NNP	 
                                                                                                                       	./.	 
[[ John Turturro | /m/01swck ]] played [[ Pete | /m/0gyn94q ]] in the movie	John/NNP	 
                                                                            	Turturro/NNP	 
                                                                            	played/VBD	 
                                                                            	Pete/NNP	 
                                                                            	in/IN	 
                                                                            	the/DT	 
                                                                            	movie/NN	 
[[ Carole Bouquet | /m/049wzr ]] is best known for her role as [[ Bond | /m/0ghcr ]] girl [[ Melina Havelock | /m/0bbd7c ]] in the 1981 video For Your [...]	Carole/NNP	 
                                                                                                                                                             	Bouquet/NNP	 
                                                                                                                                                             	is/VBZ	 
                                                                                                                                                             	best/JJS	 
                                                                                                                                                             	known/NN	 
                                                                                                                                                             	for/IN	 
                                                                                                                                                             	her/PRP$	 
                                                                                                                                                             	role/NN	 
                                                                                                                                                             	as/IN	 
                                                                                                                                                             	Bond/NNP	 
                                                                                                                                                             	girl/NN	 
                                                                                                                                                             	Melina/NNP	 
                                                                                                                                                             	Havelock/NNP	 
                                                                                                                                                             	in/IN	 
                                                                                                                                                             	the/DT	 
                                                                                                                                                             	1981/CD	 
                                                                                                                                                             	video/NN	 
                                                                                                                                                             	For/IN	 
                                                                                                                                                             	Your/PRP$	 
                                                                                                                                                             	.../:	 
[[ Teresa Wright | /m/018qr9 ]] offers capable support as [[ Eleanor Gehrig | /m/02nwq33 ]] 	Teresa/NNP	 
                                                                                             	Wright/NNP	 
                                                                                             	offers/VBZ	 
                                                                                             	capable/JJ	 
                                                                                             	support/NN	 
                                                                                             	as/IN	 
                                                                                             	Eleanor/NNP	 
                                                                                             	Gehrig/NNP	 
Playing  two roles , [[ Rock Hudson | /m/015dcj ]] is wonderful as [[ Webster | /m/0h36vt2 ]] and in his shy, virgin-like disguise as  Dr	Playing/VBG	 
                                                                                                                                          	two/CD	 
                                                                                                                                          	roles/NNS	 
                                                                                                                                          	,/,	 
                                                                                                                                          	Rock/NNP	 
                                                                                                                                          	Hudson/NNP	 
                                                                                                                                          	is/VBZ	 
                                                                                                                                          	wonderful/JJ	 
                                                                                                                                          	as/IN	 
                                                                                                                                          	Webster/NNP	 
                                                                                                                                          	and/CC	 
                                                                                                                                          	in/IN	 
                                                                                                                                          	his/PRP$	 
                                                                                                                                          	shy/NN	 
                                                                                                                                          	,/,	 
                                                                                                                                          	virgin-like/JJ	 
                                                                                                                                          	disguise/NN	 
                                                                                                                                          	as/IN	 
                                                                                                                                          	Dr/NNP	 
[[ Mads Mikkelsen | /m/076svb ]] , who played the villain in the most recent [[ James Bond | /m/03_97 ]] film, is a very human man named [[ Jacob | /m/0h39r88 ]] 	Mads/NNP	 
                                                                                                                                                                   	Mikkelsen/NNP	 
                                                                                                                                                                   	,/,	 
                                                                                                                                                                   	who/WP	 
                                                                                                                                                                   	played/VBD	 
                                                                                                                                                                   	the/DT	 
                                                                                                                                                                   	villain/NN	 
                                                                                                                                                                   	in/IN	 
                                                                                                                                                                   	the/DT	 
                                                                                                                                                                   	most/RBS	 
                                                                                                                                                                   	recent/JJ	 
                                                                                                                                                                   	James/NNP	 
                                                                                                                                                                   	Bond/NNP	 
                                                                                                                                                                   	film/NN	 
                                                                                                                                                                   	,/,	 
                                                                                                                                                                   	is/VBZ	 
                                                                                                                                                                   	a/DT	 
                                                                                                                                                                   	very/RB	 
                                                                                                                                                                   	human/JJ	 
                                                                                                                                                                   	man/NN	 
                                                                                                                                                                   	named/VBN	 
                                                                                                                                                                   	Jacob/NNP	 
[[ Danny | /m/02h48 ]] played [[ Max Feldman | /m/0h332zg ]] , a holocaust survivor, who had told his children very little about his past.	Danny/NNP	 
                                                                                                                                           	played/VBD	 
                                                                                                                                           	Max/NNP	 
                                                                                                                                           	Feldman/NNP	 
                                                                                                                                           	,/,	 
                                                                                                                                           	a/DT	 
                                                                                                                                           	holocaust/NN	 
                                                                                                                                           	survivor/NN	 
                                                                                                                                           	,/,	 
                                                                                                                                           	who/WP	 
                                                                                                                                           	had/VBD	 
                                                                                                                                           	told/VBN	 
                                                                                                                                           	his/PRP$	 
