               Original Sentence             	                   List of POS      	       Misclassified Entity    
                                                                                                                     	having/VBG	 
                                                                                                                     	released/VBN	 
                                                                                                                     	3/CD	 
                                                                                                                     	critically/RB	 
                                                                                                                     	acclaimed/VBN	 
                                                                                                                     	albums/NNS	 
                                                                                                                     	,/,	 
                                                                                                                     	PE/NNP	 
                                                                                                                     	came/VBD	 
                                                                                                                     	with/IN	 
                                                                                                                     	Apocalypse/NNP	 
                                                                                                                     	91/CD	 
                                                                                                                     	./.	 
[[ Marc Anthony | /m/01wv9p ]] 's   [[ Libre | /m/0271yxp ]]   has been certified GOLD by the [[ RIAA | /m/09tb2 ]] as of December 13, 2001	Marc/NNP	 
                                                                                                                                            	Anthony/NNP	 
                                                                                                                                            	s/NN	 
                                                                                                                                            	Libre/NNP	 
                                                                                                                                            	has/VBZ	 
                                                                                                                                            	been/VBN	 
                                                                                                                                            	certified/VBN	 
                                                                                                                                            	GOLD/NNP	 
                                                                                                                                            	by/IN	 
                                                                                                                                            	the/DT	 
                                                                                                                                            	RIAA/NNP	 
                                                                                                                                            	as/IN	 
                                                                                                                                            	of/IN	 
                                                                                                                                            	December/NNP	 
                                                                                                                                            	13/CD	 
                                                                                                                                            	,/,	 
                                                                                                                                            	2001/CD	 
Now regrouped with four of its early members, [[ April Wine | /m/020vns ]] released [[ Back to the Mansion | /m/01jp8dg ]] in 2001	Now/RB	 
                                                                                                                                   	regrouped/VBN	 
                                                                                                                                   	with/IN	 
                                                                                                                                   	four/CD	 
                                                                                                                                   	of/IN	 
                                                                                                                                   	its/PRP$	 
                                                                                                                                   	early/JJ	 
                                                                                                                                   	members/NNS	 
                                                                                                                                   	,/,	 
                                                                                                                                   	April/NNP	 
                                                                                                                                   	Wine/NNP	 
                                                                                                                                   	released/VBD	 
                                                                                                                                   	Back/NNP	 
                                                                                                                                   	to/TO	 
                                                                                                                                   	the/DT	 
                                                                                                                                   	Mansion/NNP	 
                                                                                                                                   	in/IN	 
                                                                                                                                   	2001/CD	 
Buoyed by the rising popularity of   [[ Girls and Boys | /m/03g79qq ]] ,  Miss [[ Michaelson | /m/02rbph7 ]] left [[ New York | /m/02_286 ]] and took up residence on the road	Buoyed/VBN	 
                                                                                                                                                                               	by/IN	 
                                                                                                                                                                               	the/DT	 
                                                                                                                                                                               	rising/VBG	 
                                                                                                                                                                               	popularity/NN	 
                                                                                                                                                                               	of/IN	 
                                                                                                                                                                               	Girls/NNP	 
                                                                                                                                                                               	and/CC	 
                                                                                                                                                                               	Boys/NNP	 
                                                                                                                                                                               	,/,	 
                                                                                                                                                                               	Miss/NNP	 
                                                                                                                                                                               	Michaelson/NNP	 
                                                                                                                                                                               	left/VBD	 
                                                                                                                                                                               	New/NNP	 
                                                                                                                                                                               	York/NNP	 
                                                                                                                                                                               	and/CC	 
                                                                                                                                                                               	took/VBD	 
                                                                                                                                                                               	up/RP	 
                                                                                                                                                                               	residence/NN	 
                                                                                                                                                                               	on/IN	 
                                                                                                                                                                               	the/DT	 
                                                                                                                                                                               	road/NN	 
[[ Marc | /m/01wv9p ]] 's album [[ Contra La Corriente | /m/02rt256 ]] was awarded a [[ Grammy | /m/08pbsb ]] for Best Latin/Tropical Performance .	Marc/NNP	 
                                                                                                                                                    	s/PRP	 
                                                                                                                                                    	album/VBP	 
                                                                                                                                                    	Contra/NNP	 
                                                                                                                                                    	La/NNP	 
                                                                                                                                                    	Corriente/NNP	 
                                                                                                                                                    	was/VBD	 
                                                                                                                                                    	awarded/VBN	 
                                                                                                                                                    	a/DT	 
                                                                                                                                                    	Grammy/NNP	 
                                                                                                                                                    	for/IN	 
                                                                                                                                                    	Best/NNP	 
                                                                                                                                                    	Latin/NNP	 
                                                                                                                                                    	Tropical/JJ	 
                                                                                                                                                    	Performance/NNP	 
                                                                                                                                                    	./.	 
Ryan. [[ Kate Ryan | /m/05plrb ]] mp3, [[ The Promise You Made | /m/01mz4yb ]] downloads.	Ryan/NNP	The Promise You Made
                                                                                          	./.	 
                                                                                          	Kate/NNP	 
                                                                                          	Ryan/NNP	 
                                                                                          	mp3/NN	 
                                                                                          	,/,	 
                                                                                          	The/DT	 
                                                                                          	Promise/NNP	 
                                                                                          	You/PRP	 
                                                                                          	Made/VBD	 
                                                                                          	downloads/NNS	 
                                                                                          	./.	 
[[ Ash In The Rainbow | /m/01s6qvc ]] is [[ Haco | /m/01mdvzj ]] 's collaboration with cellist Hiromichi Sakamoto.	Ash/NNP	 
                                                                                                                   	In/IN	 
                                                                                                                   	The/DT	 
                                                                                                                   	Rainbow/NNP	 
                                                                                                                   	is/VBZ	 
                                                                                                                   	Haco/NNP	 
                                                                                                                   	s/JJ	 
                                                                                                                   	collaboration/NN	 
                                                                                                                   	with/IN	 
                                                                                                                   	cellist/NN	 
                                                                                                                   	Hiromichi/NNP	 
                                                                                                                   	Sakamoto/NNP	 
                                                                                                                   	./.	 
In 1994 [[ Martin | /m/031jd_ ]] formed [[ Martin Taylor | /m/031jd_ ]] 's [[ Spirit of Django | /m/01m9jb6 ]] , paying homage to [[ Django Reinhardt | /m/02hcs ]] 	In/IN	 
                                                                                                                                                                     	1994/CD	 
                                                                                                                                                                     	Martin/NNP	 
                                                                                                                                                                     	formed/VBD	 
                                                                                                                                                                     	Martin/NNP	 
                                                                                                                                                                     	Taylor/NNP	 
                                                                                                                                                                     	s/VBD	 
                                                                                                                                                                     	Spirit/NNP	 
                                                                                                                                                                     	of/IN	 
                                                                                                                                                                     	Django/NNP	 
                                                                                                                                                                     	,/,	 
                                                                                                                                                                     	paying/VBG	 
                                                                                                                                                                     	homage/NN	 
                                                                                                                                                                     	to/TO	 
                                                                                                                                                                     	Django/NNP	 
                                                                                                                                                                     	Reinhardt/NNP	 
This turned out to be the [[ Public Enemy | /m/05qbq ]] album [[ Rebirth Of a Nation | /m/01hns0p ]] 	This/DT	 
                                                                                                      	turned/VBD	 
                                                                                                      	out/RP	 
                                                                                                      	to/TO	 
                                                                                                      	be/VB	 
                                                                                                      	the/DT	 
                                                                                                      	Public/NNP	 
                                                                                                      	Enemy/NNP	 
                                                                                                      	album/VBD	 
                                                                                                      	Rebirth/NNP	 
                                                                                                      	Of/IN	 
                                                                                                      	a/DT	 
                                                                                                      	Nation/NN	 
In 1994 [[ Martin | /m/031jd_ ]] formed [[ Martin Taylor | /m/031jd_ ]] 's [[ Spirit of Django | /m/01m9jb6 ]] , paying homage to [[ Django Reinhardt | /m/02hcs ]] 	In/IN	 
                                                                                                                                                                     	1994/CD	 
                                                                                                                                                                     	Martin/NNP	 
                                                                                                                                                                     	formed/VBD	 
                                                                                                                                                                     	Martin/NNP	 
                                                                                                                                                                     	Taylor/NNP	 
                                                                                                                                                                     	s/VBD	 
                                                                                                                                                                     	Spirit/NNP	 
                                                                                                                                                                     	of/IN	 
                                                                                                                                                                     	Django/NNP	 
                                                                                                                                                                     	,/,	 
                                                                                                                                                                     	paying/VBG	 
                                                                                                                                                                     	homage/NN	 
                                                                                                                                                                     	to/TO	 
                                                                                                                                                                     	Django/NNP	 
                                                                                                                                                                     	Reinhardt/NNP	 
                                                                                                                                                                     	In/IN	 
                                                                                                                                                                     	1994/CD	 
                                                                                                                                                                     	Martin/NNP	 
                                                                                                                                                                     	formed/VBD	 
                                                                                                                                                                     	Martin/NNP	 
                                                                                                                                                                     	Taylor/NNP	 
                                                                                                                                                                     	s/VBD	 
                                                                                                                                                                     	Spirit/NNP	 
