               Original Sentence             	                   List of POS      	       Misclassified Entity    
                                                                                                           	Shintaro/NNP	 
                                                                                                           	Abe/NNP	 
                                                                                                           	,/,	 
                                                                                                           	was/VBD	 
                                                                                                           	foreign/JJ	 
                                                                                                           	minister/NN	 
                                                                                                           	in/IN	 
                                                                                                           	the/DT	 
                                                                                                           	early/JJ	 
                                                                                                           	1980s/CD	 
                                                                                                           	./.	 
(played by [[ Landau | /m/01mqnr ]] 's daughter and [[ Buffy the Vampire Slayer | /m/0cskb ]] actress [[ Juliet Landau | /m/01yps3 ]] )	played/VBN	 
                                                                                                                                        	by/IN	 
                                                                                                                                        	Landau/NNP	 
                                                                                                                                        	s/NN	 
                                                                                                                                        	daughter/NN	 
                                                                                                                                        	and/CC	 
                                                                                                                                        	Buffy/NNP	 
                                                                                                                                        	the/DT	 
                                                                                                                                        	Vampire/NNP	 
                                                                                                                                        	Slayer/NNP	 
                                                                                                                                        	actress/NN	 
                                                                                                                                        	Juliet/NNP	 
                                                                                                                                        	Landau/NNP	 
[[ Amenhotep II | /m/02npr1 ]] was followed by [[ Thutmose IV | /m/02n_ls ]] , who ruled for ten years	Amenhotep/NNP	 
                                                                                                       	II/NNP	 
                                                                                                       	was/VBD	 
                                                                                                       	followed/VBN	 
                                                                                                       	by/IN	 
                                                                                                       	Thutmose/NNP	 
                                                                                                       	IV/NNP	 
                                                                                                       	,/,	 
                                                                                                       	who/WP	 
                                                                                                       	ruled/VBD	 
                                                                                                       	for/IN	 
                                                                                                       	ten/CD	 
                                                                                                       	years/NNS	 
Rapper Dr. [[ Dre | /m/01vvydl ]] ?s son, [[ Andre Young Jr. | /m/04j6q_q ]] , died at the age of 20 years-old.	Rapper/NNP	 
                                                                                                                	Dr./NNP	 
                                                                                                                	Dre/NNP	 
                                                                                                                	?/.	 
                                                                                                                	s/NN	 
                                                                                                                	son/NN	 
                                                                                                                	,/,	 
                                                                                                                	Andre/NNP	 
                                                                                                                	Young/NNP	 
                                                                                                                	Jr./NNP	 
                                                                                                                	,/,	 
                                                                                                                	died/VBD	 
                                                                                                                	at/IN	 
                                                                                                                	the/DT	 
                                                                                                                	age/NN	 
                                                                                                                	of/IN	 
                                                                                                                	20/CD	 
                                                                                                                	years-old/JJ	 
                                                                                                                	./.	 
[[ Mills | /m/01f761 ]] shares a child with [[ McCartney | /m/03j24kf ]] , 5-year-old [[ Beatrice Milly McCartney | /m/09pm1zj ]] 	Mills/NNP	 
                                                                                                                                   	shares/NNS	 
                                                                                                                                   	a/DT	 
                                                                                                                                   	child/NN	 
                                                                                                                                   	with/IN	 
                                                                                                                                   	McCartney/NNP	 
                                                                                                                                   	,/,	 
                                                                                                                                   	5-year-old/JJ	 
                                                                                                                                   	Beatrice/NNP	 
                                                                                                                                   	Milly/NNP	 
                                                                                                                                   	McCartney/NNP	 
[[ Pocahantas | /m/01jggg ]] 's marriage to [[ Rolfe | /m/03q33y ]] brought eight years of peaceful relations in [[ Virginia | /m/07z1m ]] .	Pocahantas/NNP	 
                                                                                                                                             	s/JJ	 
                                                                                                                                             	marriage/NN	 
                                                                                                                                             	to/TO	 
                                                                                                                                             	Rolfe/NNP	 
                                                                                                                                             	brought/VBD	 
                                                                                                                                             	eight/CD	 
                                                                                                                                             	years/NNS	 
                                                                                                                                             	of/IN	 
                                                                                                                                             	peaceful/JJ	 
                                                                                                                                             	relations/NNS	 
                                                                                                                                             	in/IN	 
                                                                                                                                             	Virginia/NNP	 
                                                                                                                                             	./.	 
                                                                                                                                             	Pocahantas/NNP	 
                                                                                                                                             	s/JJ	 
                                                                                                                                             	marriage/NN	 
                                                                                                                                             	to/TO	 
                                                                                                                                             	Rolfe/NNP	 
                                                                                                                                             	brought/VBD	 
                                                                                                                                             	eight/CD	 
                                                                                                                                             	years/NNS	 
                                                                                                                                             	of/IN	 
                                                                                                                                             	peaceful/JJ	 
                                                                                                                                             	relations/NNS	 
                                                                                                                                             	in/IN	 
                                                                                                                                             	Virginia/NNP	 
                                                                                                                                             	./.	 
~Today, many people claim that their ancestry is linked to [[ Pocahontas | /m/01jggg ]] and [[ John | /m/0302tx ]] 's son, [[ Thomas Rolfe | /m/03q33y ]] 	~Today/NN	 
                                                                                                                                                           	,/,	 
                                                                                                                                                           	many/JJ	 
                                                                                                                                                           	people/NNS	 
                                                                                                                                                           	claim/VBP	 
                                                                                                                                                           	that/IN	 
                                                                                                                                                           	their/PRP$	 
                                                                                                                                                           	ancestry/NN	 
                                                                                                                                                           	is/VBZ	 
                                                                                                                                                           	linked/VBN	 
                                                                                                                                                           	to/TO	 
                                                                                                                                                           	Pocahontas/NNP	 
                                                                                                                                                           	and/CC	 
                                                                                                                                                           	John/NNP	 
                                                                                                                                                           	s/NNP	 
                                                                                                                                                           	son/NN	 
                                                                                                                                                           	,/,	 
                                                                                                                                                           	Thomas/NNP	 
                                                                                                                                                           	Rolfe/NNP	 
Succeeding [[ Shapur I | /m/011knj ]] , [[ Bahram I | /m/011kh9 ]]  persecuted [[ Mani | /m/02yx5q ]] and his followers under pressure from [[ Magi | /m/01dpt8 ]] 	Succeeding/VBG	 
                                                                                                                                                                    	Shapur/NNP	 
                                                                                                                                                                    	I/PRP	 
                                                                                                                                                                    	,/,	 
                                                                                                                                                                    	Bahram/NNP	 
                                                                                                                                                                    	I/PRP	 
                                                                                                                                                                    	persecuted/VBD	 
                                                                                                                                                                    	Mani/NNP	 
                                                                                                                                                                    	and/CC	 
                                                                                                                                                                    	his/PRP$	 
                                                                                                                                                                    	followers/NNS	 
                                                                                                                                                                    	under/IN	 
                                                                                                                                                                    	pressure/NN	 
