               Original Sentence             	                   List of POS      	       Misclassified Entity    
                                                                              	offers/VBZ	 
                                                                              	a/DT	 
                                                                              	different/JJ	 
                                                                              	approach/NN	 
                                                                              	to/TO	 
                                                                              	BPO/VB	 
[[ Sitel | /m/020cfy ]] is a global [[ Business Process Outsourcing | /m/04fm00 ]]  leader	Sitel/NNP	 
                                                                                           	is/VBZ	 
                                                                                           	a/DT	 
                                                                                           	global/JJ	 
                                                                                           	Business/NNP	 
                                                                                           	Process/NNP	 
                                                                                           	Outsourcing/NNP	 
                                                                                           	leader/NN	 
I think the main [[ VFX | /m/01vx2h ]] vendor on [[ Zodiac | /m/07vn_9 ]] was [[ Digital Domain | /m/029f_1 ]] .	I/PRP	 
                                                                                                                 	think/VBP	 
                                                                                                                 	the/DT	 
                                                                                                                 	main/JJ	 
                                                                                                                 	VFX/NNP	 
                                                                                                                 	vendor/NN	 
                                                                                                                 	on/IN	 
                                                                                                                 	Zodiac/NNP	 
                                                                                                                 	was/VBD	 
                                                                                                                 	Digital/NNP	 
                                                                                                                 	Domain/NNP	 
                                                                                                                 	./.	 
[[ Gary | /m/01syq9_ ]] has performed for [[ HEB | /m/06g7cb ]] [[ Grocery | /m/01jpn4 ]] 's annual Feast of Sharing Holiday Dinners throughout the state of [[ Texas | /m/07b_l ]] .	Gary/NNP	 
                                                                                                                                                                                      	has/VBZ	 
                                                                                                                                                                                      	performed/VBN	 
                                                                                                                                                                                      	for/IN	 
                                                                                                                                                                                      	HEB/NNP	 
                                                                                                                                                                                      	Grocery/NNP	 
                                                                                                                                                                                      	s/VBD	 
                                                                                                                                                                                      	annual/JJ	 
                                                                                                                                                                                      	Feast/NNP	 
                                                                                                                                                                                      	of/IN	 
                                                                                                                                                                                      	Sharing/VBG	 
                                                                                                                                                                                      	Holiday/NNP	 
                                                                                                                                                                                      	Dinners/NNPS	 
                                                                                                                                                                                      	throughout/IN	 
                                                                                                                                                                                      	the/DT	 
                                                                                                                                                                                      	state/NN	 
                                                                                                                                                                                      	of/IN	 
                                                                                                                                                                                      	Texas/NNP	 
                                                                                                                                                                                      	./.	 
Newspapers: Television: Marketplace: CanWest Countries: 2005 - 2008 [[ Canwest | /m/02tbg7 ]] squinting [[ Media | /m/04z0z ]] , a division of [[ Canwest Publishing Inc | /m/02tbg7 ]] .	Newspapers/NNS	 
