               Original Sentence             	                   List of POS      	       Misclassified Entity    
[[ Robert Coles | /m/02643jj ]] is the winner of [[ America | /m/09c7w0 ]] 's highest civilian award, the [[ Medal of Freedom | /m/05qck ]] .	Robert/NNP	 
                                                                                                                                              	Coles/NNP	 
                                                                                                                                              	is/VBZ	 
                                                                                                                                              	the/DT	 
                                                                                                                                              	winner/NN	 
                                                                                                                                              	of/IN	 
                                                                                                                                              	America/NNP	 
                                                                                                                                              	s/VBP	 
                                                                                                                                              	highest/JJS	 
                                                                                                                                              	civilian/JJ	 
                                                                                                                                              	award/NN	 
                                                                                                                                              	,/,	 
                                                                                                                                              	the/DT	 
                                                                                                                                              	Medal/NNP	 
                                                                                                                                              	of/IN	 
                                                                                                                                              	Freedom/NNP	 
                                                                                                                                              	./.	 
President [[ Bush | /m/09b6zr ]] awarded the [[ Presidential Medal of Freedom | /m/05qck ]] to Dr. [[ Oscar Elias Biscet | /m/04r3kd ]] yesterday.	President/NNP	 
                                                                                                                                                   	Bush/NNP	 
                                                                                                                                                   	awarded/VBD	 
                                                                                                                                                   	the/DT	 
                                                                                                                                                   	Presidential/NNP	 
                                                                                                                                                   	Medal/NNP	 
                                                                                                                                                   	of/IN	 
                                                                                                                                                   	Freedom/NNP	 
                                                                                                                                                   	to/TO	 
                                                                                                                                                   	Dr./NNP	 
                                                                                                                                                   	Oscar/NNP	 
                                                                                                                                                   	Elias/NNP	 
                                                                                                                                                   	Biscet/NNP	 
                                                                                                                                                   	yesterday/NN	 
                                                                                                                                                   	./.	 
In 1998, [[ Fred Korematsu | /m/05bn6v ]] was awarded [[ Presidential Medal of Freedom | /m/05qck ]] award, the nation's highest civilian honor	In/IN	 
                                                                                                                                                	1998/CD	 
                                                                                                                                                	,/,	 
                                                                                                                                                	Fred/NNP	 
                                                                                                                                                	Korematsu/NNP	 
                                                                                                                                                	was/VBD	 
                                                                                                                                                	awarded/VBN	 
                                                                                                                                                	Presidential/NNP	 
                                                                                                                                                	Medal/NNP	 
                                                                                                                                                	of/IN	 
                                                                                                                                                	Freedom/NNP	 
                                                                                                                                                	award/NN	 
                                                                                                                                                	,/,	 
                                                                                                                                                	the/DT	 
                                                                                                                                                	nation/NN	 
                                                                                                                                                	s/NN	 
                                                                                                                                                	highest/JJS	 
                                                                                                                                                	civilian/JJ	 
                                                                                                                                                	honor/NN	 
[[ Bill Clinton | /m/0157m ]] described it aptly when founder [[ Millard Fuller | /m/0bvrmr ]] was awarded the [[ Presidential Medal of Freedom | /m/05qck ]] in 1996	Bill/NNP	 
                                                                                                                                                                      	Clinton/NNP	 
                                                                                                                                                                      	described/VBD	 
                                                                                                                                                                      	it/PRP	 
                                                                                                                                                                      	aptly/RB	 
                                                                                                                                                                      	when/WRB	 
                                                                                                                                                                      	founder/NN	 
                                                                                                                                                                      	Millard/NNP	 
                                                                                                                                                                      	Fuller/NNP	 
                                                                                                                                                                      	was/VBD	 
                                                                                                                                                                      	awarded/VBN	 
                                                                                                                                                                      	the/DT	 
                                                                                                                                                                      	Presidential/NNP	 
                                                                                                                                                                      	Medal/NNP	 
                                                                                                                                                                      	of/IN	 
                                                                                                                                                                      	Freedom/NNP	 
                                                                                                                                                                      	in/IN	 
                                                                                                                                                                      	1996/CD	 
In 1999, [[ Fred Korematsu | /m/05bn6v ]] was awarded the [[ Presidential Medal of Freedom | /m/05qck ]] , the highest civilian honor that anyone can receive	In/IN	 
                                                                                                                                                              	1999/CD	 
                                                                                                                                                              	,/,	 
                                                                                                                                                              	Fred/NNP	 
                                                                                                                                                              	Korematsu/NNP	 
                                                                                                                                                              	was/VBD	 
                                                                                                                                                              	awarded/VBN	 
                                                                                                                                                              	the/DT	 
                                                                                                                                                              	Presidential/NNP	 
                                                                                                                                                              	Medal/NNP	 
                                                                                                                                                              	of/IN	 
                                                                                                                                                              	Freedom/NNP	 
                                                                                                                                                              	,/,	 
                                                                                                                                                              	the/DT	 
                                                                                                                                                              	highest/JJS	 
                                                                                                                                                              	civilian/JJ	 
                                                                                                                                                              	honor/NN	 
                                                                                                                                                              	that/IN	 
                                                                                                                                                              	anyone/NN	 
                                                                                                                                                              	can/MD	 
                                                                                                                                                              	receive/VB	 
[[ Lamb | /m/035ddv ]] is a [[ Lafayette | /m/0sqc8 ]] native, and, in 2007, he was awarded the [[ Presidential Medal of Freedom | /m/05qck ]] , that nation's highest civilian award	Lamb/NNP	 
                                                                                                                                                                                      	is/VBZ	 
                                                                                                                                                                                      	a/DT	 
                                                                                                                                                                                      	Lafayette/NNP	 
                                                                                                                                                                                      	native/NN	 
                                                                                                                                                                                      	,/,	 
                                                                                                                                                                                      	and/CC	 
                                                                                                                                                                                      	,/,	 
                                                                                                                                                                                      	in/IN	 
                                                                                                                                                                                      	2007/CD	 
                                                                                                                                                                                      	,/,	 
                                                                                                                                                                                      	he/PRP	 
                                                                                                                                                                                      	was/VBD	 
                                                                                                                                                                                      	awarded/VBN	 
                                                                                                                                                                                      	the/DT	 
                                                                                                                                                                                      	Presidential/NNP	 
                                                                                                                                                                                      	Medal/NNP	 
                                                                                                                                                                                      	of/IN	 
                                                                                                                                                                                      	Freedom/NNP	 
                                                                                                                                                                                      	,/,	 
                                                                                                                                                                                      	that/IN	 
                                                                                                                                                                                      	nation/NN	 
                                                                                                                                                                                      	s/NN	 
                                                                                                                                                                                      	highest/JJS	 
                                                                                                                                                                                      	civilian/JJ	 
                                                                                                                                                                                      	award/NN	 
On December 15, 2006, President [[ George W. Bush | /m/09b6zr ]] awarded [[ King | /m/01w60_p ]] the [[ Presidential Medal of Freedom | /m/05qck ]] 	On/IN	King
                                                                                                                                                     	December/NNP	 
                                                                                                                                                     	15/CD	 
                                                                                                                                                     	,/,	 
                                                                                                                                                     	2006/CD	 
                                                                                                                                                     	,/,	 
                                                                                                                                                     	President/NNP	 
